study_hours_per_day,attendance,assignments_completed,midterm_score,previous_sgpa,daily_screen_time,social_media_usage,class_participation,sleep_hours,stress_level,physical_activity,internet_quality,study_environment,fatigue_score,gender,sgpa
5.97,67,1,98.26,7.23,3.15,2.15,8,8.74,5,3.97,4,5,2.36,M,4
,74,2,70.59,8.9,2.56,1.03,3,5.97,Low,5.22,1,4,5.16,Female,
2.19,64.8%,0,78.32,,4.29,1.48,3,5.79,4,6.41,5,1,3.74,male,
8.79, 75.7 %,1,74.58,8.04,7.46,3.96,9,4.81,4,6.74,1,4,4.61,Female,4.01
2.42,58.3%,0,69.06,9.68,,1.72,9,8.69,low,5.5,4,4,5.87,M,
3.79,98.9%,1,90.76,7.11,7.34,0.51,,8,1,5.94,1,2,5.49,male,4
3.61,55.4%,2,78.67,9.04,1.38,4.99,,5.11,high,2.78,4,4,2.27,F,4.98
8.84, 96.6 %,0,88.08,6.9,1.58,1.45,1,5.66,2,2.74,3,2,2.1,M,5.15
7.05,96,10,87.18,9.19,5.89,3.45,3,8.57,high,5.66,2,5,2.17,,5.66
8.17,76.3%,8,51.46,6.3,2.33,4.67,5,6.69,low,,1,4,8.57,female,4.19
3.25,,9,79.01,6.45,3.22,3.2,4,6.78,2,6.31,5,4,1.18,female,4.35
6.62, 71.8 %,4,51.98,8.39,1.95,4.1,4,7.24,2,0.93,3,4,2.82,male,4.99
6.15,,7,75,6.06,3.33,4.89,1,7.81,,4.84,2,5,9.6,F,
8.5, 67.0 %,4,,6.15,,4.37,6,8.7,high,4.53,5,3,1.59,F,
9.15, 65.1 %,7,99.83,6.53,6.15,3.01,10,8.01,low,5.59,5,3,1.33,M,5.83
1.11, 78.9 %,6,41.83,8.39,5.91,2.14,4,8.67,5,0.17,4,5,4.49,M,4
7.07,75,3,45.47,9.45,7.68,2.67,1,8.1,low,5.78,2,1,2.36,F,4.36
1.47,79.0%,6,44.62,8.37,6.07,4.29,10,4.23,low,2.28,5,1,6.09,male,4
5.94,64,5,63.9,9.14,5.86,4.34,6,4.59,medium,4.81,5,2,,,5.26
3.59,68.3%,2,89.3,7.72,5.86,4.31,5,8.42,3,4.32,5,5,2.88,male,4.49
3.76, 54.2 %,8,90.64,5.34,7.18,3.19,5,4.14,HIGH,3.08,3,1,9.99,F,4.66
4.18, 52.6 %,9,84.22,5.5,3.07,2.65,2,7.97,,5.22,2,2,4.07,female,
6.59,62.7%,8,93.81,7.77,3.1,1.9,1,8.25,medium,6.73,4,4,6.77,Female,5.52
4.01,54,4,59.37,6.64,6.19,0.52,7,6.08,4,2.26,3,4,8.87,F,4
7.59,55,7,45.29,6.1,2.6,3.94,5,5.77,3,5.24,3,1,9.3,,4.37
4.64,91,6,43.49,7.33,7.38,1.75,3,4.97,medium,2.2,3,2,4.69,female,4
15.9949331478793,51.9%,8,,8.33,4.74,1.98,6,1.7089206293719,4,5.92,4,,,Male,
8.05, 82.9 %,6,83.83,6.92,3.1,4.3,3,7.73,high,3.06,,3,7.52,,5.21
3.57, 63.6 %,3,81.92,9.01,6.43,0.74,6,4.37,1,3.14,3,1,6.25,F,4.99
4.89, 93.6 %,3,60.38,8.69,3.19,4.67,6,,medium,5.4,3,3,,F,4.19
,74.2%,10,62.79,8.67,,0.51,9,5.48,HIGH,3.47,1,5,4.24,Female,
3.99, 65.3 %,7,97.49,9.93,7.88,4.73,8,7.97,Low,1.87,4,2,,male,5.31
1.51, 75.9 %,5,43.83,6.48,5.67,2.55,1,4.3,medium,6.97,,3,6.28,,4
4.37,69,8,86.42,8.22,1.8,0.96,7,6.68,Low,4.34,,2,3.94,M,4.57
9.5, 78.2 %,9,58.58,9.28,2.84,3.53,9,5.75,HIGH,4.52,2,5,7.92,male,6.65
6.78,56,6,42.34,7.9,4.61,4.53,2,4.15,Low,4.53,2,3,3.26,Female,4.58
7.04,99.8%,6,84.55,8.95,6.96,2.47,9,7.28,2,6.18,3,5,8.17,F,5.65
6.69,71,3,59.85,7.07,2.29,3.61,6,8.72,5,1.29,4,,2.37,Male,4.45
2.79, 67.4 %,2,83.33,7.95,1.73,4.91,3,4.05,medium,0.41,1,2,2.96,F,4
4.77, 85.5 %,7,82.46,5.28,1.52,1.58,8,5.35,1,2.71,1,4,7.78,F,4.52
7.76,68,6,72.09,9.93,4.55,4.19,7,7.52,HIGH,3.95,2,2,3.37,Male,5.63
1.91, 91.7 %,3,86.64,9,7.19,1.83,8,8.36,medium,2,5,4,8.16,Male,4
3.5,73,3,74.86,9.34,1.3,2.42,8,4.95,3,4.82,5,5,8.05,male,4.83
3.49, 86.0 %,0,57.2,8.47,2.49,1.77,7,4.35,3,0.52,5,1,3.32,female,4
4.89,55,10,84.05,5.93,5.85,2.51,1,4.04,HIGH,5.53,5,5,1.66,male,5.14
9.82,92,6,75.35,5.16,6.78,0.52,,5.08,4,5.03,1,4,2.5,male,4.57
1.61,86.8%,0,40.76,9.32,6.65,1.87,10,4.36,1,1.5,1,1,,female,4
5.67,61,9,94.1,6.98,6.5,2.5,10,5.8,4,2.09,4,4,8.62,,4.29
2.61,57,9,72.74,6.32,1.91,3.35,8,6.2,,5.65,1,2,4.45,F,
14.805216382984,65.8%,3,92.12,7.81,3.78,3.37,5,2.21441323716401,high,5.41,4,4,2.48,male,6.51
2.02,,10,92.96,7.1,7.89,3.13,2,4.71,medium,5.7,4,1,1.68,M,4.11
4.63,63,2,66.7,8.26,7.92,1.82,2,6.32,high,2.26,3,4,2.94,male,4.2
7.64,72.8%,10,70.46,7.42,5.22,4.76,2,4.05,1,6.79,1,3,9.82,Female,6.56
7.34,,2,64.95,8.49,5.96,2.26,9,5.2,2,5.01,5,3,2.53,M,4.15
4.8,70,0,,9.27,7.66,1.48,5,,5,0.46,2,5,1.78,Male,
4.12, 78.6 %,3,,5.98,4.15,3,3,4.59,4,3.34,4,5,8.07,F,
4.58,97.7%,0,87.29,6.65,1.96,3.87,6,8.07,2,4.65,2,1,6.54,Female,4
3.38,76,7,47.59,7.18,5.68,0.56,9,5.01,HIGH,1.18,5,,,F,4
,91.0%,0,76.62,9.81,7.72,1.74,9,7.77,low,6.31,4,2,5.03,male,
5.35, 77.4 %,5,99.75,6.83,5.88,4.21,9,,5,5.28,4,1,7.32,M,4.7
3.42,52,6,75.73,6.91,6.62,2.78,10,6.4,Low,0.57,1,1,7.29,F,4
3.59,66,9,87.15,8.27,3.96,2.34,4,7.23,3,6.39,3,1,4.82,M,4.87
6.91, 78.8 %,1,,7.1,1.68,4.69,5,4.22,medium,2.83,2,5,3.11,F,
9.72, 97.5 %,3,61.02,9.76,2.18,0.9,1,4.39,3,3.17,5,1,8.57,Male,4.82
6.43,93.0%,10,62.31,9.47,7.88,3.27,10,5.63,Low,5.48,3,4,2.48,,4.84
,61,2,83.44,7.57,4.45,2.04,6,6.08,4,4.51,3,1,5.81,,
1.68,61.0%,8,70,8.22,1.08,0.82,2,6.15,5,3.06,1,2,7.23,M,4
9.56,60,6,74.23,5.29,7.69,1.46,7,7.38,1,1.82,4,1,6.75,Female,5.48
3.68,96.1%,1,82.77,8.48,4.48,3.33,4,4,2,3.62,5,5,6.57,male,4
1.83,93,10,86.65,8.54,6.85,0.63,4,8.8,high,4.05,3,5,6.96,F,5.13
6.39, 88.7 %,5,56.29,6.8,4.84,3.17,9,4.87,3,4.42,3,2,8.88,female,4.35
6.61,69.6%,8,48.81,6.1,1.71,4.81,1,5.24,5,4.24,2,1,4.29,female,4.35
6.84,75,2,57.51,9.58,5.31,4.08,6,8.53,3,4.32,5,1,6.65,F,4.58
3.41,73,10,70.45,7.13,7.98,2.06,2,,2,3.33,5,1,7.27,,4
1.14,62.7%,,60.53,8.27,1.24,1.12,6,8.96,low,3.93,3,5,6.31,male,
9.69, 75.3 %,2,74.1,5.17,6.89,2.59,7,4.18,HIGH,2.02,,1,9.13,male,4.85
3.26, 51.5 %,2,43.21,7.07,2.65,2.27,3,4.6,low,1.11,5,5,6.89,Male,4
7.08,56.6%,3,70.59,9.09,,4.87,4,5.2,low,4.25,5,5,4.82,Female,
7.36,94.3%,8,62.08,6.94,3.61,4.95,,6.19,1,0.33,2,4,8.61,Male,5.68
6.49,88,10,72.08,8.02,7.29,2.35,7,6.59,2,0.46,2,3,5.41,F,5.51
3.82,71,7,65.35,6.05,4.53,1.17,9,4.52,Low,1.73,2,5,5.77,M,4
3.44, 75.9 %,0,57.05,7.08,4.13,4.6,5,4.37,4,1.36,4,3,6.24,male,4
6.38, 68.5 %,10,94.25,9.64,6.73,4.07,5,4.16,2,2.62,4,4,3.91,Male,6.63
8.79, 87.0 %,0,51.09,7.83,1.34,2.8,9,5.28,3,2.6,5,3,7.5,female,4.83
9.52,,6,80.88,9.51,1.61,2.14,8,8.61,medium,0.82,4,3,1.88,,6.76
1.95,88.2%,2,95.48,,1.15,2.52,1,5.95,Low,1.73,2,2,8.82,M,
2.39,86.1%,10,,9.72,5.82,4.56,2,7.82,1,0.03,4,2,7.79,Female,
9.5,,6,92.58,9.48,4.68,1.33,7,4.95,5,2.46,5,3,4.18,Male,4.83
7.63,,8,47.49,5.02,7.13,4.13,,4.32,4,5.58,3,5,3.04,F,4
8.95, 73.5 %,2,69.63,9.67,4.49,0.58,6,6.77,low,1.86,1,1,4.49,Female,5.05
2.82, 66.5 %,2,,5.69,2.55,4.64,1,8.11,4,4.5,4,1,8.25,female,
6.29,87.7%,1,40.49,5.2,6.64,2.75,8,8.49,2,0.69,3,4,1.28,Male,4
7.31,66,9,66.6,5.28,3.06,1.52,2,6.73,2,,5,5,5.21,F,4.04
,56.9%,0,62.14,6.74,7.55,0.51,1,5.47,medium,3.49,3,,,F,
4.67,70,8,80.19,8.1,2.75,3.02,2,4.55,1,,3,2,8.87,male,4.74
1.14,99,5,96.3,,2.17,1.6,8,7.34,2,1.34,3,1,4.72,M,
6.25,61.3%,5,45.15,5.13,4.45,3.34,10,5.4,,2.01,2,3,7.28,M,
3.28,80.6%,,59.65,7.38,1.35,1.77,5,8.22,high,0.21,4,,4.22,Female,
5.05,71.6%,10,66.64,7.21,1.25,0.9,,7.03,5,5.58,3,2,3.97,M,4.81
9.62, 53.6 %,4,67.31,8.78,4.47,2.77,3,8.29,,2.11,5,2,3.93,male,
4.59,74.4%,8,86.49,6.4,2.51,3.04,,6.83,4,,1,,7.1,M,5.73
, 85.1 %,10,66.6,6.09,1.07,2.54,4,7.86,low,5.63,1,3,9.68,female,
2.7,76,4,41.63,,3.07,2.56,7,5.47,2,0.27,1,3,2.87,Female,
7.05,93.6%,1,82.61,6.52,4.34,3.15,10,6.52,medium,1.99,2,4,6.8,F,4.88
9.79, 64.4 %,5,93.09,8,3.76,2.87,10,4.1,,1.84,4,,3.39,male,
1.92,,8,70.83,7.36,1.95,1.1,8,7.04,5,,1,2,5.94,Female,4
1.07, 96.8 %,2,74.87,6.68,5.06,1.39,3,6.67,4,0.08,2,5,5.87,female,4
4.9,68.9%,9,49.78,6.87,5.97,1.14,3,7.78,3,6.54,5,3,5.05,male,4
1.83,79,3,53.24,6.85,5.73,3.62,1,7.64,4,6.05,5,5,5.49,male,4
7.74,89.6%,9,54.11,9.86,3.76,2.88,,7.14,,2.9,2,2,8.92,male,
9.23, 66.2 %,10,65.84,6.16,1.96,2.43,2,4.28,high,3.12,4,2,1.8,Male,5.88
4.91,86,7,,9.09,4.5,4.09,7,8.52,2,3.67,5,4,8.47,F,
3.33,57,5,71.31,8.54,,1.97,7,4.09,Low,3.35,4,4,5.16,male,
4.91,65,6,51.53,5.03,4.28,3.06,7,8.02,medium,5.45,2,3,4,Male,4
7.51,57,6,55.97,9.97,2.37,0.83,4,6.4,3,3.42,5,5,2.59,M,5.9
1.08, 90.6 %,3,63.04,8.78,1.65,3.85,7,8.09,4,1.32,5,2,8.33,Female,4
6.31, 61.1 %,,77.4,8.41,7.61,3.63,10,6.33,HIGH,0.82,3,4,6.33,F,
6.52,86,8,66.4,7.03,6.2,4.11,8,7.23,,6.43,5,5,7.56,male,
6.74,97,2,63.55,7.78,3.19,4.48,9,5.82,3,0.34,1,2,3.83,Male,4.77
3.18,76,7,73.88,6.27,3.07,3.91,7,7.72,,6.28,3,5,4.54,male,
7.43,77,6,54.51,5.18,7.27,4.3,6,5.27,low,4.83,2,,9.22,Male,4.62
1.82, 73.1 %,3,44.73,9.18,2.24,2.06,5,7.6,low,2.83,1,1,9.65,F,4
2.79,66,9,41.46,9.48,4.75,2.05,10,4.97,high,1.31,1,4,7.66,M,4.4
8.9,74,2,55.08,5.81,,4.75,10,7.61,5,2.17,4,1,7.74,female,
7.65,80.1%,6,45.5,8.94,3.77,4.62,7,5.47,high,3.71,3,,7.25,male,4
, 99.3 %,9,60.18,8.71,1.28,2.97,10,5.39,low,4.6,4,4,6.28,F,
3.24,97,8,86.38,5.89,2.59,2.15,2,8.06,4,4.84,3,5,6.36,Male,4.23
2.93,93,9,82.98,7.11,7.31,4.4,5,8.07,1,3.13,3,3,9.67,M,5.01
3.44,94.5%,2,76.66,7.11,4.66,1.96,8,7.46,2,2.62,1,1,7.76,F,4.29
3.23,73,9,91.15,8.8,6.71,1.19,6,8.62,3,5.38,5,1,6.9,F,5.33
1.56,83,8,56.92,9.19,4.89,3.38,6,4.78,HIGH,6.48,4,4,2.7,Male,5.05
5.13,95,7,93.1,5.47,7.61,0.69,1,5.35,medium,6.4,4,2,9.79,F,4
7.59,69.6%,2,63.95,7.81,7.36,2.21,2,5.47,medium,3.86,1,1,5.68,F,5.47
6.46, 98.1 %,7,64.05,8.81,4.38,4.13,3,5.53,high,0.55,5,5,9.49,Male,4.87
7.06,70.8%,,64.32,8.93,3.23,1.83,7,5.64,,0.51,3,2,7.42,M,
1.73, 80.1 %,5,45.89,5.74,5.21,4.69,10,7.49,Low,2.82,3,1,1.36,male,4
9.56,85.5%,9,98.53,7.63,5.72,4.8,6,5.35,high,5.13,5,1,5.85,female,6.82
8.55,97.5%,1,48.31,9.29,4.49,4.17,5,5.43,HIGH,3.48,3,5,9.03,F,4.64
8.25,62,7,60.45,6.59,6.76,4.94,9,6.85,4,4.39,4,1,1.47,M,5.55
8.41, 87.3 %,8,59.16,7.13,2.28,2.89,10,4.97,3,5.9,4,2,8.8,Male,5.65
9.39,,6,44.48,9.02,3.34,3.06,7,5.82,5,0.28,4,3,6.52,M,4.65
, 63.4 %,7,49.14,5.45,5.8,4.26,9,4.29,5,6.47,1,3,1.4,Male,
2.8, 88.8 %,6,42.69,9.3,2.73,2.72,3,8.76,high,2.32,3,1,4.36,Female,4.06
6.55,78,10,57.54,6.56,4.08,2.33,8,5.59,2,0.33,1,4,1.27,M,5.16
7.69,83,9,92,5.01,7.75,3.27,9,8.25,high,5.85,3,2,1.02,female,4.65
12.9430724956945,66.1%,3,60.37,6.17,5.38,3.46,2,1.4591778667486,HIGH,6.54,4,3,9.07,Male,5.43
,74.1%,0,47.42,5.45,7.64,3.88,4,5.14,3,5.38,4,4,7.74,Male,
1.62,81,2,78.74,5.46,6.06,,2,4.97,2,5.63,5,3,3.61,M,4
4.34,70.2%,6,99.8,8.46,6.07,,7,7.47,1,6.1,,4,2.02,Male,6.04
9.29,60,10,53.94,6.07,5.14,3.54,4,8.82,medium,3.66,2,1,1.49,Male,5.14
6.26, 98.1 %,10,56.77,9.67,2,,6,4.92,4,4.76,1,4,9.26,M,4.88
5.84,75.6%,6,98.31,7.58,4.64,1.11,8,4.58,3,2.01,4,1,6.63,M,5.1
3.42,87,10,,7.3,2.77,4.03,6,5.94,high,1.75,5,4,2.45,F,
4.32, 70.6 %,2,70.67,7.17,7.99,0.64,4,5.97,4,4.26,5,4,7.13,female,4
9.06, 67.8 %,0,54.38,8.46,2.87,4.97,6,8.03,4,5.14,4,4,9.99,M,4.24
7, 70.4 %,9,95.94,,2.61,4.23,1,6.34,HIGH,2.78,,2,8.09,male,
8.09,70,8,98.89,5.64,5.37,3.52,6,4.31,1,2.8,5,3,5.02,female,5.95
5.09,77,5,88.88,9.4,4.58,4.85,10,8.6,low,6.68,3,4,8.33,M,4.14
6.67,77,6,58.89,7.14,1.15,3.26,8,5.87,low,3.63,5,1,7.7,Female,4.5
3.24, 74.9 %,0,64.21,5.37,1.91,0.75,4,7.34,Low,6.9,1,4,1.8,M,4
7.35, 56.7 %,0,54.54,7.65,6.68,3.02,9,7.34,HIGH,6.04,3,2,9.33,M,4
4.85, 74.8 %,3,93.45,8.24,,1.75,6,4.28,1,4.48,5,2,8.96,F,
4.98,58,6,94.87,6.38,2.02,2.16,6,4.02,medium,0.06,4,2,6.32,Female,5.73
6.84,56,10,65.13,9,4.26,2.57,4,4.44,5,2.07,2,4,5.57,female,5.96
9.43,96.6%,10,,8.35,2.77,3.99,8,8.78,1,2.92,4,4,3.05,F,
1.58, 80.2 %,7,49.93,8.25,2.57,2.76,5,,2,4.57,3,4,8.51,F,4
8.42,83,9,66.1,7.1,7.7,2.64,1,4.66,high,2.77,4,3,4.89,Male,5.52
3.63,70.1%,8,77.89,9.81,3.53,1.86,7,7.07,low,5.79,4,4,6.21,male,4.73
,95.4%,0,63.12,6.37,1.33,2.93,8,7.06,4,4.64,2,5,2.53,Female,
1.2, 81.9 %,3,61.46,7.89,7.79,1.62,6,4,HIGH,2.43,4,2,,female,4
3.71, 88.5 %,3,40.06,6.55,6.56,1.67,7,6.15,4,5.49,5,4,9.87,Male,4
5.52,68,2,88.26,8.72,2.78,3.91,7,7.56,HIGH,2.12,1,3,5.45,Female,4.09
,98.0%,6,93.36,5.24,3.86,2.04,4,4.93,2,,2,1,8.34,Female,
5.42, 91.0 %,,98.17,5.23,7.04,0.73,4,8.25,high,1.21,3,2,8.47,Male,
9.34,,8,83.16,9.05,3.5,2.05,1,7.3,medium,0.02,5,4,9.83,F,6.25
1.95,58.6%,7,72.93,7.17,4.97,3.37,2,4.03,3,5.83,,4,9.85,female,4
7.88, 63.5 %,1,56.16,6.71,4.74,4.16,3,8.27,high,4.39,2,1,5.11,M,4
4.69,64.3%,1,99.96,,3.81,,5,4.1,HIGH,3.99,2,3,9.55,F,
6.9,63.5%,7,75.39,8.51,5.48,3.86,,8.44,medium,4.63,4,5,4.29,F,4.66
3.34, 92.8 %,10,80.87,6.01,4.31,2.43,9,5.67,low,4.58,2,1,6.47,M,4.05
2.44,51.6%,0,,5.93,1.15,1.85,5,7.49,Low,3.96,3,3,,Male,
2.44,53.8%,6,90.72,9.79,6.7,1.08,6,7.94,4,5.9,2,3,9.22,M,4
1.63,64,8,40.58,7.95,1.79,,7,5.41,5,3.09,1,4,5.71,F,4
2.67,60.0%,,53.21,6.95,4.25,2.79,4,5.78,5,5.63,4,4,4.76,Female,
6.98, 61.6 %,,79.93,9.01,5.06,3.55,8,6.55,medium,5.51,2,,7.56,Female,
8.94,89.9%,5,93.71,7.63,5.94,1.57,6,6.91,1,1.4,,4,5.1,F,5.6
8.33,78.2%,6,81.12,6.21,3.88,1.96,1,5.46,1,3.18,3,4,,M,5.17
7.17, 50.3 %,6,64.81,6.03,6.15,,6,8.96,1,5.84,3,3,8.24,male,5.32
1.99,71.5%,9,61.69,6.98,1.92,4.09,2,7.69,2,5.82,1,4,8.57,Female,4.03
3.6,70.4%,0,84.28,9.3,5.57,1.27,4,5.37,2,0.17,1,4,3.29,Male,4
3.79,55.7%,2,84.47,5.31,6.78,3.24,4,7.2,5,1.56,2,4,6.14,M,4.13
3.25, 83.8 %,9,76.42,6.09,7.23,0.73,10,6.18,4,2.97,4,5,1.23,Male,4.57
5.64,85,0,57.49,9.47,5.06,2.97,10,8.3,high,0.33,4,5,8.18,female,4
5.82,86,4,95.51,5.61,3.19,0.79,5,5.64,4,1.82,5,2,2.13,M,4
4.21,86.4%,2,73.11,8.15,2.14,1.29,,4.94,1,1.81,1,1,8.85,male,4
4.18, 50.0 %,0,87.43,6.07,3.42,1.01,2,4.23,HIGH,1.5,3,3,4.66,male,4
8.46, 97.7 %,1,52.86,8.03,4.78,2.06,,8.92,1,2.78,5,2,,Female,4.96
8.1, 90.7 %,9,60.64,6.92,2.37,2.05,3,5.8,2,5.69,1,3,8.16,,5.66
15.6566542745106, 95.2 %,4,92.47,5.51,7.67,4.22,9,2.02905436544591,1,1.71,1,1,2.8,F,6.96
9.22,51,10,43.01,7.91,7.28,1.52,6,6.46,,4.07,5,1,4.55,Male,
9.58, 96.7 %,2,70.74,,1.23,0.89,3,5.46,high,3.9,4,2,6.1,female,
3.94,90,5,68.9,8.4,4.93,3.22,3,5.16,4,5.73,1,5,4.24,Male,4
4.19,91.9%,8,85.07,8.19,6.53,3.59,5,7.08,high,2.76,5,5,2.61,female,4.5
5.55,54.7%,5,56.91,7.5,2.72,1.83,6,4.37,low,1.56,2,5,4.65,Female,4.16
9.47, 86.9 %,1,53.14,7.6,4.67,3.21,4,6.54,2,6.24,2,4,2.3,M,4.8
, 98.0 %,1,95.57,8.18,3.84,3.99,5,,2,5.83,3,4,7.47,M,
1.92,84,7,74.3,8.45,2.38,2.06,3,6.66,1,4.35,4,2,2.54,Female,4
4.53,78.5%,10,46.28,8.27,5.3,2.86,10,5.6,HIGH,,5,4,5.34,female,4.21
5.98,97.3%,7,51.58,,7.96,1.16,4,6.85,5,0.11,4,3,6.04,F,
5.53, 72.1 %,5,99.93,5.78,3.56,,8,4.41,1,1.28,4,2,,Female,4.78
2.74, 80.0 %,,51.74,6.05,4.87,4.92,8,5.88,3,1.38,,2,1.7,,
8.73,74,6,76.63,6.3,3.29,1.85,1,5.19,HIGH,0.95,1,1,9.37,M,5.19
7.09, 96.6 %,0,65.21,9.6,7.14,1.76,4,6.19,5,1.84,2,1,2.87,F,4.18
8.54,54,8,93.14,8.8,7.05,4.88,2,5.99,medium,2.37,3,2,8.57,male,5.63
8.73,75.1%,4,85.31,7.76,2.25,3.78,4,7.16,low,5.28,1,5,1.81,F,5.88
7.74, 84.3 %,8,,6.26,7.3,3.13,5,7.14,5,4.97,4,1,9.9,M,
4.95, 89.6 %,1,40.64,5.55,2.06,3.65,1,6.07,high,0.73,4,4,8.27,male,4
, 79.2 %,7,92.79,9.49,1.67,3.69,5,4.91,3,,5,2,1.57,Male,
,95,6,66.68,9.46,5.57,3.94,7,6.91,4,5.26,2,3,2.93,female,
7.06,97.1%,10,95.89,5.55,3.7,0.8,5,,1,1.14,2,2,5.94,female,6.24
2.61,53.2%,3,69.73,8.99,4.72,2.36,7,4.93,4,0.87,3,3,5.71,M,4.36
7.25,70.1%,2,81.65,7.23,5.57,1.83,9,4.35,4,0.61,1,1,6.66,M,4.92
3.07, 51.2 %,3,44.16,6.62,1.37,0.82,8,5.32,HIGH,5.12,3,5,5.17,F,4
2.06,66.5%,3,84.71,8.7,3.05,2.36,1,6.06,2,1.65,4,3,7.61,male,4.34
2.49,76.8%,9,60.28,8.07,4.23,3.27,10,5.53,medium,0.51,4,5,4.14,Male,4.65
1.02,95.5%,9,61.08,8.9,2.87,1.3,10,8.17,medium,2.95,2,3,2.59,M,4.97
7.47, 92.3 %,7,47.12,5.37,1.34,1.87,2,6.47,Low,4.96,4,5,1.3,M,4
7.59, 56.4 %,3,48.81,6.59,1.61,3.38,6,5.23,low,2.13,1,3,3.92,Male,5.33
,55,4,51.15,6.6,6.61,3.11,5,8.75,low,3.38,1,2,4.84,female,
2.45,79,1,59.69,6.65,7.38,4.41,1,4.63,3,,3,2,6.93,Female,4
1.75,77,3,93.52,7.51,2.07,4.06,2,4.61,1,3,1,,8.26,Male,4
1.17,63,6,62.1,6.42,2.74,4.85,3,5.23,5,2.51,4,2,3.16,male,4
2.49,95.0%,2,,7.22,5.57,3.19,10,4.38,3,,5,,5.44,female,
9.02,,0,44.96,6.84,7.68,3.64,5,7.76,HIGH,,2,1,3.1,Female,4.53
3.17,70,7,75.47,8.68,3.1,4.37,7,5.56,HIGH,0.65,2,2,9.56,female,4
4.19,95,7,68.91,8.02,6.99,,6,7.65,low,0.65,2,2,6.83,Female,4
1.95, 69.2 %,5,98.68,8.27,4.54,3.73,3,,low,1.82,5,4,7.1,Female,4.87
3,86.8%,,90.77,6.05,7.7,2.75,6,5.19,2,0.81,4,5,5.78,F,
5.67, 73.8 %,,67.29,6.63,1.95,1.73,4,6.59,Low,1.77,1,2,3.54,female,
6.47,56.1%,10,86.51,5.11,7.82,4.45,3,6.6,HIGH,0.17,,3,2.8,F,5.54
3.21,96,1,,5.54,4.09,3.99,4,8.36,4,2.46,3,5,6.91,,
1.52, 72.7 %,4,73.74,6.33,7.67,4.27,8,4.13,2,1.49,4,3,9.3,female,4
4.52,86.7%,6,44.48,5.33,4.21,1.13,1,5.58,4,6.25,4,5,2.92,Male,4
3.11, 68.4 %,8,60.89,8.01,4.71,1.92,3,8.41,3,6.01,2,3,6.15,M,4
, 50.9 %,0,53.55,9.99,6.63,2.41,10,5.18,high,2.1,4,2,,F,
9.64,55.0%,2,83.13,5.5,6.06,4.27,8,4.68,Low,3.33,5,3,6.77,M,4.65
6.55,74.8%,5,69.41,9.11,,4.52,10,6.88,low,6.69,2,2,6.29,Female,
6.01,84,6,85.06,5.59,3.92,1.78,9,5.53,HIGH,3.67,3,4,3.46,M,4.48
4.74,67,5,70.92,8.35,6.55,3.59,3,6.34,high,5.94,5,3,7.22,female,4.47
4.86,85,0,45.19,8.22,7.64,0.85,9,8.1,,5.78,5,1,3.45,F,
5.87, 84.9 %,3,84.12,9.51,1.07,2.34,10,6.6,high,6.59,3,1,6.88,female,5.38
7.27,85,5,89.99,5.57,5.11,2.69,10,,Low,2.14,1,3,3.7,M,5.43
7.32,74.6%,7,94.21,6.58,7.06,3.95,4,5.39,5,0.3,,2,1.74,male,5.37
2.55, 95.7 %,9,74.32,5.45,5.57,4.51,4,7.96,3,0.73,4,,2.15,Male,4.36
,74.5%,3,85.22,7.04,,2.02,7,7.7,5,4,1,4,8.51,Female,
4.71, 72.5 %,6,85.12,9.56,7.27,2.87,6,5.17,high,3.71,3,3,2.09,male,5.36
8.83,60.0%,10,49.34,8.91,6.26,3.41,10,5.6,medium,2.09,1,4,3.97,female,5.22
6.68,65.4%,2,49.85,8.61,6.02,1.98,3,,3,1.74,2,2,3.59,female,4.62
5.79,52,7,44.25,7.67,7.75,4.93,8,5.79,Low,4.97,2,1,1.52,M,4.03
2.04,82,0,59.19,9.42,7.05,4.44,5,6.02,,2.38,2,2,6.4,Female,
6.45, 62.4 %,3,68.41,7.25,6.71,,2,5.82,high,4.23,1,2,8.19,female,5.07
2.05,65,7,99.87,5.75,1.6,2.79,10,4.81,2,4.99,5,3,9.93,Female,4.63
4.03, 88.5 %,9,65.86,9.19,,1.54,3,5.7,medium,3.01,2,4,9.42,male,
2.29,66.4%,3,83.57,6.4,4.9,2.82,7,8.01,3,1.35,1,5,1.44,Male,4
7.23, 62.1 %,1,81.6,5.27,5.97,3.57,10,6.46,low,6.03,2,4,3.32,Female,4.26
2.86,58.5%,1,52.27,5.63,3.12,0.88,9,6.29,high,0.65,2,5,4.71,Male,4
4.53,,3,43.51,8.05,1.65,4.42,1,4.78,5,5.81,4,1,8.88,M,4
9.06,56.5%,3,72.76,8.04,3.18,3.17,6,4.89,2,5.86,1,4,4.24,Female,5.69
2.84, 72.7 %,1,82.02,6.3,6.4,4.95,9,4.21,3,4,4,5,6.13,F,4
5.57, 75.3 %,6,99.9,8.64,7.14,0.62,7,4.07,4,4.41,3,4,6.94,Female,5.29
4.77,84,5,61.52,8.87,7.39,4.24,3,,2,2.51,2,2,3.68,,4.04
1.16,82,10,93.78,9.6,3.65,4.06,7,6.05,,5.89,2,1,6.24,Female,
8.13,90.5%,2,62.92,7.92,3.61,1.1,2,5.38,HIGH,1.85,4,4,1.46,Male,4.4
1.62,52.2%,7,81.36,8.9,3.85,2.01,10,8.95,2,3.92,1,2,5.32,Male,5.34
